quote,value
EUR.BASIS6M12M.10Y,9.35
EUR.BASIS6M12M.11Y,8.8
EUR.BASIS6M12M.12Y,8.7
EUR.BASIS6M12M.15Y,8.8
EUR.BASIS6M12M.20Y,8.5
EUR.BASIS6M12M.25Y,8.2
EUR.BASIS6M12M.30Y,7.9
AUD.DEPOSIT.6M,1.13
AUD.SWAP3M.3M,1.025
AUD.SWAP3M.6M,1.00641
AUD.SWAP3M.9M,0.9644
AUD.SWAP3M.1Y,0.95575
AUD.SWAP3M.18M,0.925
AUD.SWAP3M.2Y,0.89375
AUD.SWAP3M.3Y,0.89625
AUD.BASIS1M3M.3M,4.875
AUD.BASIS1M3M.6M,5.25
AUD.BASIS1M3M.9M,5.5
AUD.BASIS1M3M.1Y,5.75
AUD.BASIS1M3M.2Y,5.25
AUD.BASIS1M3M.3Y,5.0
AUD.BASIS1M3M.4Y,4.625
AUD.BASIS1M3M.5Y,4.375
AUD.BASIS1M3M.6Y,4.28
AUD.BASIS1M3M.7Y,4.125
AUD.BASIS1M3M.8Y,4.0
AUD.BASIS1M3M.9Y,3.875
AUD.BASIS1M3M.10Y,3.875
AUD.BASIS1M3M.12Y,3.875
AUD.BASIS1M3M.15Y,3.875
AUD.BASIS1M3M.20Y,3.875
AUD.BASIS1M3M.25Y,3.125
AUD.BASIS1M3M.30Y,2.625
AUD.BASIS3M6M.1Y,11.05
AUD.BASIS3M6M.2Y,10.33
AUD.BASIS3M6M.3Y,9.69
AUD.SWAP.4Y,1.0025
AUD.SWAP.5Y,1.03375
AUD.SWAP.6Y,1.0775
AUD.SWAP.7Y,1.1325
AUD.SWAP.8Y,1.185
AUD.SWAP.9Y,1.23625
AUD.SWAP.10Y,1.28375
AUD.SWAP.12Y,1.37375
AUD.SWAP.15Y,1.48125
AUD.SWAP.20Y,1.5925
AUD.SWAP.25Y,1.64375
AUD.SWAP.30Y,1.63875
AUD.DEPOSIT.3M,1.025
AUD.BASIS6M3M.4Y,9.25
AUD.BASIS6M3M.5Y,8.66
AUD.BASIS6M3M.6Y,8.375
AUD.BASIS6M3M.7Y,7.875
AUD.BASIS6M3M.8Y,7.5
AUD.BASIS6M3M.9Y,7.17
AUD.BASIS6M3M.10Y,6.91
AUD.BASIS6M3M.12Y,6.5
AUD.BASIS6M3M.15Y,6.125
AUD.BASIS6M3M.20Y,5.5
AUD.BASIS6M3M.25Y,5.12
AUD.BASIS6M3M.30Y,5.0
AUD.FUTURE.1,98.97
AUD.FUTURE.2,99.08
AUD.FUTURE.3,99.14
AUD.FUTURE.4,99.18
