quote,ticker
AUD.OIS.5Y,ADSO5 CMPN Curncy
AUD.OIS.6Y,ADSO6 CMPN Curncy
AUD.OIS.7Y,ADSO7 CMPN Curncy
AUD.OIS.8Y,ADSO8 CMPN Curncy
AUD.OIS.9Y,ADSO9 CMPN Curncy
AUD.OIS.10Y,ADSO10 CMPN Curncy
AUD.OIS.12Y,ADSO12 CMPN Curncy
AUD.OIS.15Y,ADSO15 CMPN Curncy
AUD.OIS.20Y,ADSO20 CMPN Curncy
AUD.OIS.25Y,ADSO25 CMPN Curncy
AUD.OIS.30Y,ADSO30 CMPN Curncy
CHF.ON.1D,SRFXON3 Index
CHF.OIS.1W,SFSNT1Z CMPN Curncy
CHF.OIS.2W,SFSNT2Z CMPN Curncy
CHF.OIS.1M,SFSNTA CMPN Curncy
CHF.OIS.2M,SFSNTB CMPN Curncy
CHF.OIS.3M,SFSNTC CMPN Curncy
CHF.OIS.6M,SFSNTF CMPN Curncy
CHF.OIS.9M,SFSNTI CMPN Curncy
CHF.OIS.10M,SFSNTJ CMPN Curncy
CHF.OIS.12M,SFSNT1 CMPN Curncy
CHF.OIS.18M,SFSNT1F CMPL Curncy
CHF.OIS.2Y,SFSNT2 CMPL Curncy
CHF.OIS.3Y,SFSNT3 CMPL Curncy
CHF.OIS.4Y,SFSNT4 CMPL Curncy
CHF.OIS.5Y,SFSNT5 CMPL Curncy
CHF.OIS.6Y,SFSNT6 CMPL Curncy
CHF.OIS.7Y,SFSNT7 CMPL Curncy
CHF.OIS.8Y,SFSNT8 CMPL Curncy
CHF.OIS.9Y,SFSNT9 CMPL Curncy
CHF.OIS.10Y,SFSNT10 CMPL Curncy
CHF.OIS.12Y,SFSNT12 CMPL Curncy
CHF.OIS.15Y,SFSNT15 CMPL Curncy
CHF.OIS.20Y,SFSNT20 CMPL Curncy
CHF.OIS.25Y,SFSNT25 CMPL Curncy
CHF.OIS.30Y,SFSNT30 CMPL Curncy
CHF.DEPOSIT.6M,SF0006M Index
CHF.FRA.1M,SFFR0AG CMPN Curncy
CHF.FRA.2M,SFFR0BH CMPN Curncy
CHF.FRA.3M,SFFR0CI CMPN Curncy
CHF.FRA.4M,SFFR0DJ CMPN Curncy
CHF.FRA.5M,SFFR0EK CMPN Curncy
CHF.FRA.6M,SFFR0F1 CMPN Curncy
CHF.FRA.9M,SFFR0I1C CMPN Curncy
CHF.SWAP.2Y,SFSW2 BGN  Curncy
CHF.SWAP.3Y,SFSW3 BGN  Curncy
CHF.SWAP.4Y,SFSW4 BGN  Curncy
CHF.SWAP.5Y,SFSW5 BGN  Curncy
CHF.SWAP.6Y,SFSW6 BGN  Curncy
CHF.SWAP.7Y,SFSW7 BGN  Curncy
CHF.SWAP.8Y,SFSW8 BGN  Curncy
CHF.SWAP.9Y,SFSW9 BGN  Curncy
CHF.SWAP.10Y,SFSW10 BGN  Curncy
CHF.SWAP.12Y,SFSW12 BGN  Curncy
CHF.SWAP.15Y,SFSW15 BGN  Curncy
CHF.SWAP.20Y,SFSW20 BGN  Curncy
CHF.SWAP.25Y,SFSW25 BGN  Curncy
CHF.SWAP.30Y,SFSW30 BGN  Curncy
CHF.DEPOSIT.1W,SF0001W Index
CHF.DEPOSIT.1M,SF0001M Index
CHF.DEPOSIT.2M,SF0002M Index
CHF.DEPOSIT.3M,SF0003M Index
CHF.FUTURE.1,ES1 Comdty
CHF.FUTURE.2,ES2 Comdty
CHF.FUTURE.3,ES3 Comdty
CHF.FUTURE.4,ES4 Comdty
CHF.FUTURE.5,ES5 Comdty
CHF.FUTURE.6,ES6 Comdty
CHF.SWAP3M.2Y,SFSW2V3 BGN  Curncy
CHF.SWAP3M.3Y,SFSW3V3 BGN  Curncy
CHF.SWAP3M.4Y,SFSW4V3 BGN  Curncy
CHF.SWAP3M.5Y,SFSW5V3 BGN  Curncy
CHF.SWAP3M.6Y,SFSW6V3 BGN  Curncy
CHF.SWAP3M.7Y,SFSW7V3 BGN  Curncy
